31,"Currently fitting","Patients who are in the tonic or clonic stages of a grand mal convulsion, and patients currently experiencing partial fits fulfil this criterion"
32,"Current palpitation","A feeling of the heart racing (often described as a fluttering) that is still present"
33,"Deformity","This will always be subjective. Abnormal angulation or rotation is implied"
34,"Diplopia","Double vision which resolves when one eye is closed"
35,"Direct trauma to the back","This may be top to bottom (loading) for in­stance when people fall and land on their feet, bending (forwards, backwards or to the side) or twisting"
36,"Direct trauma to the neck","This may be top to bottom (loading) for instance when something falls on the head, bending (for­wards, backwards or to the side), twisting or dis­tracting such as in hanging"
37,"Discharge","In the context of sexually acquired infection this is any discharge from the penis or abnormal dis­charge from the vagina"
38,"Disruptive","Disruptive behaviour is behaviour that affects the smooth running of the department. It may be threatening"
39,"Distal vascular compromise","There will be a combination of pallor, coldness, al­tered sensation and pain with or without absent pulses distal to the injury"
40,"Distressed by pain ","A child who is distressed by pain and inconsolable "
41,"Drooling","Saliva running from the mouth as a result of being unable to swallow"
42,"Dysuria","Pain or difficulty in passing urine. Pain is typically described as stinging or hot"
43,"Electrical injury","Any injury caused or possibly caused by electric current. This includes AC and DC and both artifi­cial and natural sources"
44,"Exhaustion","Exhausted patients appear to reduce the effort they make to breathe despite continuing respiratory insufficiency. This is preterminal"
45,"Exsanguinating haemorrhage","Haemorrhage which is occurring at such a rate that death will ensue unless bleeding is stopped"
46,"Externalisation of organs","Herniation or frank extrusion of internal organs"
47,"Eye injury ","A recent physically traumatic event to the eye "
48,"Facial oedema","Diffuse swelling around the face usually involving the lips"
49,"Facial swelling","Swelling around the face which may be localised or diffuse"
50,"Fails to react to parents","Failure to react in any way to a parent's face or voice. Abnormal reactions and apparent lack of recognition of a parent are also worrying signs"
51,"Floppy","Parents may describe their children as floppy. Tone is generally reduced - the most noticeable sign is often lolling of the head"
52,"Focal or progressive loss of function","Loss of function that is limited to a particular part of the body (limb, side, eye, etc.) or a loss of function that is getting worse over hours"
53,"Foreign body sensation","A sensation of something in the eye, often ex­pressed as scraping or grittiness"
54,"Frank haematuria","Red discolouration of the urine caused by blood"
55,"Fresh blood","Unaltered blood - readily identified by both the patient and their carers"
56,"Generalised rash ","The rash may be of any form but will usually be erythematous or urticarial"
57,"Gross deformity ","This will always be subjective. Gross and abnormal angulation or rotation is implied"
58,"Headache","Any pain around the head that is not related to a particular anatomical structure. Facial pain is not included"
59,"Head injury ","Any traumatic event involving the head fulfils this criterion"
60,"Heavy PV blood loss","PV loss is extremely difficult to assess. The presence of large clots or constant flow fulfils this criterion. The use of a large number of sanitary towels is suggestive of heavy loss"
61,"High blood pressure ","A history of raised blood pressure or a raised blood pressure on examination"
62,"High lethality","Lethality is the potential of the substance taken to cause harm. Advice from a Poisons Centre may be required to establish the level of risk of serious illness or death. If in doubt assume a high risk"
63,"High lethality envenomation","Lethality is the potential of the envenomation to cause harm. Local knowledge may allow identification of the venomous creature, but advice may be required. If in doubt assume a high risk"
64,"High risk of (further) harm to others","The presence of a potential risk of harm to oth­ers can be judged by looking at posture (tense and clenched) speech patterns (loud and using threat­ening words) and motor behaviour (restless, pac­ing). High risk should be assumed if weapons and potential victims are available, or if self control is lost"
65,"High risk of (further) self-harm","An initial view of the risk of self-harm can be formed by considering the patients' behaviour. Pa­tients who have a significant history of self-harm, are actively trying to harm themselves or who are actively trying to leave with the intent of harming themselves are at high risk"
66,"History of acutely vomiting blood","Frank haematemesis, vomiting of altered blood (coffee ground) or of blood mixed in the vomit within the past 24 hours"
67,"History of fitting","Any observed or reported fits that have occurred during the period of illness or following and episode of trauma"
68,"History of head injury","A history of a recent physically traumatic event involving the head. Usually this will be reported by the patient but if the patient has been uncon­scious this history should be sought from a reliable witness"
69,"History of overdose or poisoning","This information may come from others or may be deduced if medication is missing"
70,"History of recent foreign travel","Recent foreign travel (within 2weeks)"
71,"History of trauma","A history of a recent physically traumatic event"
72,"History of unconsciousness","There may be a reliable witness who can state whether the patient was unconscious (and for how long). If not a patient who is unable to remember the incident should be assumed to have been un­conscious"
73,"Hot adult ","A temperature >38.5°C is hot "
74,"Hot child","If the skin feels hot the child is clinically said to be hot. The temperature should be taken as soon as possible - a temperature >38.5°C is hot"
75,"Hot joint","Any warmth around a joint fulfils this criterion. Often accompanied by redness"
76,"Hyperglycaemic","Glucose greater than 17 mmol/1"
77,"Hyperglycaemic with ketosis","Glucose greater than 11 mmol/1 with urinary ketones or signs of acidosis (deep sighing respiration, etc.)"
78,"Hypoglycaemic","Glucose less than 3 mmol/1"
79,"Inability to bear weight","Inability to carry the full weight of the body through one or both lower limbs. This may be be­cause of pain or loss of function"
80,"In active labour","A woman who is having regular and frequent painful contractions fulfils this criterion"
81,"Inadequate breathing","Patients who are failing to breathe well enough to maintain adequate oxygenation have inade­quate breathing. There may be an increased work of breathing, signs of inadequate breathing or ex­haustion"
82,"Inadequate history","If there is no clear and unequivocal history of acute alcohol ingestion, and if head injury, drug inges-tion, underlying medical condition, etc. cannot be definitely excluded then the history is inadequate "
83,"Inappropriate history","When the history (story) given does not explain the physical findings it is termed inappropriate. This is important as it is a marker of non-accidental injury in vulnerable children and adults and may be the sentinel for abuse"
84,"Inconsolable by parents","Children whose crying or distress does not respond to attempts by their parents to comfort them fulfil this criterion"
85,"Increased work of breathing","Increased work of breathing is shown as increased respiratory rate, use of accessory muscles and grunting"
86,"Inhalational chemical injury","A history of having inhaled a potentially hazardous chemical. Some chemicals may leave specific signs while others may not. The nature of the hazard may not be immediately apparent"
87,"Inhalational injury","A history of being confined in a smoke filled space is the most reliable indicator of smoke inhala­tion. Carbon deposits around the mouth and nose and hoarse voice may be present. History is also the most reliable way of diagnosing inhalation of chemicals - there will not necessarily be any signs"
88,"Insecure airway","Patients who cannot continually maintain their own airway have an insecure airway"
89,"Known immunosuppression","Any patient on immunosuppressive drugs (includ­ing long term steroids) or who is HIV positive"
90,"Lethality","The potential of the substance taken to cause ill­ness or death. Advice from a Poisons Centre may be required to establish this. If in doubt assume a high risk"
91,"Local infection","Local infection usually manifests as inflammation (pain, swelling and redness) confined to a partic­ular site or area, with or without a collection of pus"
92,"Local inflammation ","Local inflammation will involve pain, swelling and redness confined to a particular site or area"
93,"Low PEFR","This is a PEFR of 50% or less of best or predicted PEFR"
94,"Low SaC>2 ","This is a saturation of <95% on air"
95,"Marked distress","Patients who are markedly physically or emotion­ally upset fulfil this criterion"
96,"Moderate itch ","An itch that is bearable but intense"
97,"Moderate lethality","Lethality is the potential of the substance taken to cause serious illness or death. Advice from a Poisons Centre may be required to establish the level of risk to the patient"
98,"Moderate lethality envenomation","Lethality is the potential of the envenomation to cause harm. Local knowledge may allow identifi­cation of the venomous creature, but advice may be required"
99,"Moderate pain","Pain that is bearable but intense. See the chapter on pain assessment"
100,"Moderate risk of (further) harm to others","The presence of a potential risk of harm to oth­ers can be judged by looking at posture (tense and clenched), speech patterns (loud and using threat­ening words) and motor behaviour (restless, pac­ing). Moderate risk should be assumed if there is any indication of potential harm to others"
101,"Moderate risk of (further) self-harm","An initial view of the risk of self-harm can be formed by considering the patients' behaviour. Pa­tients without a significant history of self-harm, who are not actively trying to harm themselves, who are not actively trying to leave with the intent of harming themselves, but who profess the desire to harm themselves are at moderate risk"
102,"New neurological deficit","Any loss of neurological function including al­tered or lost sensation, weakness of the limbs (ei­ther transiently or permanently) and alterations in bladder or bowel function"
103,"No improvement with own asthma medications","This history should be available from the patient. A failure to improve with bronchodilator therapy given by the GP or paramedic is equally significant"
104,"Non-blanching rash","A rash that does not blanch (go white) when pres­sure is applied to it. Often tested using a glass tum­bler to apply pressure as any colour change can be observed through the bottom of the tumbler"
105,"Normal menstruation","Menstrual blood loss and pain occurring on the expected date for the expected length of time"
106,"Not distractible","Children who are distressed by pain or other things who cannot be distracted by conversation or play fulfil this criterion"
107,"Not feeding","Children who will not take any solid or liquid (as appropriate) by mouth. Children who will take the food but always vomit afterwards may also fulfil this criterion"
108,"Not passing urine","Failure to produce and pass urine. This may be difficult to judge in children (and the elderly) and reference to the number of nappies or pads used may be useful"
109,"Oedema of the tongue","Swelling of the tongue of any degree"
110,"Open fracture","All wounds in the vicinity of a fracture should be regarded with suspicion. If there is any possibil­ity of communication between the wound and the fracture then the fracture should be assumed to be open"
111,"Pain on joint movement","This can be pain on either active (patient) move­ment or passive (examiner) movement"
112,"Pain radiating to the back","Pain that is also felt in the back either intermit­tently or constantly"
113,"Passing fresh or altered blood PR","In active massive GI bleeding dark red blood will be passed PR. As GI transit time increases this be­comes darker, eventually becoming melaena"
114,"PEFR <33% predicted","The peak expiratory flow rate predicted after con­sideration of the age and sex of the patient. Some patients may know their 'best' PEFR and this may be used. If the ratio of measured to pre­dicted is less than 33% then this criterion is fulfilled"
115,"PEFR <50% predicted","The peak expiratory flow rate predicted after con­sideration of the age and sex of the patient. Some patients may know their 'best' PEFR and this may be used. If the ratio of measured to predicted is less than 50% then this criterion is fulfilled"
116,"Penetrating eye injury","A recent physically traumatic event involving pen­etration of the globe"
117,"Penetrating trauma","A recent physically traumatic event which in­volves discrete penetration of any body area by a knife, bullet or other object"
118,"Persistent vomiting ","Vomiting that is continuous or that occurs without any respite between episodes"
119,"Pleuritic pain ","A sharp, localised pain in the chest that worsens on breathing, coughing or sneezing"
120,"Possibly pregnant","Any woman whose normal menstruation has failed to occur is possibly pregnant. Furthermore any woman of childbearing age who is having un­protected sex should be considered to be poten­tially pregnant"
121,"Presenting foetal parts","Crowning or presentation of any other foetal part in the vagina"
122,"Priapism","Sustained penile erection"
123,"Prolapsed umbilical cord","Prolapse of any part of the umbilical cord through the cervix"
124,"Prolonged or uninterrupted crying","A child who has cried continuously for 2 hours or more fulfils this criterion"
125,"Pulse rate abnormal","If the capillary refill time cannot be measured then major incident casualties whose pulse is raised over 120 beats per minute are categorised RED"
126,"Purpura","A rash on any part of the body that is caused by small haemorrhages under the skin. A purpuric rash does not blanch (go white) when pressure is applied to it"
127,"PV blood loss","Any loss of blood per vaginum"
128,"PV blood loss and more than 20 weeks pregnant","Any loss of blood per vaginum in a woman known to be beyond the 20th week of pregnancy"
129,"Rapid onset ","Onset within the preceding 12 hours "
130,"Recent hearing loss","Loss of hearing in one or both ears within the pre­vious week"
131,"Recent injury","An injury occurring within the last week is said to be recent"
132,"Recent mild itch ","Any itch that has occurred in the past 7 days "
133,"Recent mild pain ","Any pain that has occurred within the past 7 days "
134,"Recent problem","A problem arising in the last week is said to be recent"
135,"Recent reduced visual acuity ","Any reduction in corrected visual acuity within the past 7 days"
136,"Recent signs of mild pain","Young children and babies in pain cannot com­plain. They will usually cry occasionally and may act atypically"
137,"Redcurrant stool","A dark red stool classically seen in intussusception. Absence of this type of stool does not rule out the diagnosis"
138,"Red eye ","Any redness to the eye. A red eye may be painful or painless and may be complete or partial "
139,"Respiratory rate","Major incident casualties whose respiratory rate is abnormal either by being too high (over 29) or too low (less than 10) are categorised as RED "
140,"Responds to pain","Response to a painful stimulus. Standard periph­eral stimuli should be used - a pencil or pen is used to apply pressure to the finger nail bed. This stimulus should not be applied to the toes since a spinal reflex may cause flexion even in brain death. Supraorbital ridge pressure should not be used since reflex grimacing may occur"
141,"Responds to voice","Response to a vocal stimulus. It is not necessary to shout the patients' name. Children may fail to respond because they are afraid"
142,"Retention of urine","Inability to pass urine per urethra associated with an enlarged bladder. This condition is usually very painful unless there is altered sensation"
143,"Risk of continued contamination","If chemical exposure is likely to continue (usually due to lack of adequate decontamination) then this discriminator applies. Risks to health care workers must not be forgotten if this situation occurs"
144,"Risk of harm to others","The potential of the patient to actively attempt to harm others. This may be assessed by considering the state of mind, body posture and behaviour. If in doubt assume a high risk"
145,"Risk of self-harm ","The potential of the patient to actively attempt fur­ther self-harm. If in doubt assume a high risk"
146,"Scalp haematoma","A raised bruised area to the scalp (bruises below the hair line at the front are to the forehead)"
147,"Scrotal cellulitis ","Redness and swelling around the scrotum"
148,"Scrotal gangrene","Dead blackened skin around the scrotum and groin. Early gangrene may not be black but may appear like a full thickness burn with or without flaking"
149,"Scrotal trauma","Any recent physically traumatic event involving the scrotum"
150,"Severe itch ","An itch that is unbearable"
151,"Severe pain","Pain that is unbearable - often described as the worst ever. See the chapter on pain assessment"
152,"Shock","Shock is inadequate delivery of oxygen to the tis­sues. The classical signs include sweating, pallor, tachycardia, hypotension and reduced conscious level"
153,"Shoulder tip pain","Pain felt in the tip of the shoulder. This often indi­cates diaphragmatic irritation"
154,"Significant cardiac history","A known recurrent dysrhythmia which has life-threatening effects is significant as is a known car­diac condition that may deteriorate rapidly"
155,"Significant haematological history","A patient with a haematological disorder that is known to deteriorate rapidly"
156,"Significant history of allergy","A known sensitivity with severe reaction (e.g. to nuts or bee sting) is significant"
157,"Significant history of GI bleed","Any history of massive GI bleeding or of any GI bleed associated with oesophageal varices"
158,"Significant mechanism of injury","Penetrating injuries (stab or gunshot) and in­juries with high energy transfer such as falls from heights and high speed road traffic accidents (speed >40 mph) are significant especially if there has been ejection from the vehicle, death(s) of other victim(s) of the accident or marked deformation of the vehicle"
159,"Significant medical history","Any pre-existing medical condition requiring con­tinual medication or other care"
160,"Significant psychiatric history","A history of a major psychiatric illness or event"
161,"Significant respiratory history","A history of previous life threatening episodes of a respiratory condition (e.g. COPD) is significant as is brittle asthma"
162,"Signs of dehydration","These include dry tongue, sunken eyes, increased skin turgor and, in small babies, a sunken ante­rior fontanelle. Usually associated with a low urine output"
163,"Signs of meningism","Classically a stiff neck together with headache and photophobia"
164,"Signs of moderate pain","Young children and babies in moderate pain can­not complain. They will usually cry intermittently and are often intermittently consolable"
165,"Signs of severe pain","Young children and babies in severe pain cannot complain. They will usually cry out continuously and inconsolably and be tachycardic. They may well exhibit signs such as pallor and sweating"
166,"Smoke inhalation","Smoke inhalation should be assumed if the patient has been confined in a smoke filled space. Physical signs such as oral or nasal soot are less reliable but significant if present"
167,"Special risk of infection","Known exposure to a dangerous pathogen, or travel to an area with an identified, current serious infectious risk"
168,"Stridor","This may be an inspiratory or expiratory noise, or both. Stridor is heard best on breathing with the mouth open"
169,"Subcutaneous gas","Gas under the skin can be detected by feeling for a 'crackling' on touch. There may be gas bubbles and a line of demarcation"
170,"Swelling","An abnormal increase in size"
171,"Temporal scalp tenderness ","Tenderness on palpation over the temporal area (especially over the artery)"
172,"Testicular pain","Pain in the testicles"
173,"Threatening to others","Patients with threatening posture (tense and clenched), speech patterns (loud and using threat­ening words) and motor behaviour (restless, pac­ing)"
174,"TRTS","Triage revised trauma score: this is calculated using the coded respiratory rate (0-4), the systolic blood pressure (0-4) and the Glasgow Coma Scale score (0-4) to give a score from 0 to 12. This scoring system is shown on most triage labels"
175,"Unable to feed","This is usually reported by the parents. Children who will not take any solid or liquid (as appropri­ate) by mouth"
176,"Unable to talk in sentences","Patients who are so breathless that they can­not complete relatively short sentences in one breath"
177,"Unable to walk","It is important to try and distinguish between pa­tients who have pain and difficulty walking and those who cannot walk. Only the latter can be said to be unable to walk"
178,"Uncontrollable major haemorrhage","A haemorrhage that is not rapidly controlled by the application of sustained direct pressure and in which blood continues to flow heavily or soak through large dressings quickly"
179,"Uncontrollable minor haemorrhage","A haemorrhage that is not rapidly controlled by the application of sustained direct pressure and in which blood continues to flow slightly or ooze"
180,"Unresponsive ","Patients who fail to respond to either verbal or painful stimuli are unresponsive"
181,"Unresponsive child ","A child who fails to respond to either verbal or painful stimuli is unresponsive"
182,"Vaginal trauma","Any history or other evidence of direct trauma to the vagina fulfils this criterion"
183," Vascular compromise","There will be a combination of pallor, coldness, al­tered sensation and pain with or without absent pulses distal to the injury"
184,"Vertigo","An acute feeling of spinning or dizziness, possibly accompanied by nausea and vomiting"
185,"Very hot adult","If the skin feels very hot the patient is clinically said to be very hot. The temperature should be taken as soon as possible - a temperature >41°C is very hot"
186,"Very low PEFR ","This is a PEFR of 33% or less of best or predicted PEFR"
187,"Very low SaC>2","This is a saturation <95% on O2 therapy or <90% on air"
188,"Visible abdominal mass","A mass in the abdomen that is visible to the naked eye"
189,"Vomiting ","Any emesis fulfils this criterion"
190,"Vomiting blood","Vomited blood may be fresh (bright or dark red) or coffee ground in appearance"
191,"Walking ","In a major incident any patient who can walk fulfils this criterion"
192,"Warmth","If the skin feels warm the patient is clinically said to be warm. The temperature should be taken as soon as possible - a temperature >37.5°C is warm"
193,"Wheeze","This can be audible wheeze or a feeling of wheeze. Very severe airway obstruction is silent (no air can move)"
194,"Widespread rash or blistering","Any discharging or blistering eruption covering more than 10% body surface area"
195,"Wound contamination","A wound that contains extrinsic material of any description is said to be contaminated"
